symbol,side,open_time,close_time,ep,bep,tp,dca_count,pnl_usd,pnl_pct,fee_usd,holding_minutes,close_reason
BTCUSDT,LONG,2024-01-08 12:29:00,2024-01-08 12:30:00,44482.6,44500.4,44589.4,0,0.32,0.1801,0.07,1,TP
BTCUSDT,SHORT,2024-01-08 12:57:00,2024-01-08 13:01:00,45110.3,45092.3,45002.1,1,0.65,0.1799,0.14,4,TP
BTCUSDT,SHORT,2024-01-08 14:31:00,2024-01-08 14:38:00,45065.0,45047.0,44956.9,0,0.32,0.1799,0.07,7,TP
BTCUSDT,SHORT,2024-01-08 15:32:00,2024-01-08 15:43:00,45087.3,45069.3,44979.2,2,0.97,0.18,0.22,11,TP
BTCUSDT,SHORT,2024-01-08 17:48:00,2024-01-08 21:01:00,46777.6,46756.9,46663.4,156,52.84,0.1799,11.75,193,TP
BTCUSDT,LONG,2024-01-08 22:02:00,2024-01-08 22:06:00,46893.9,46912.7,47006.5,0,0.34,0.1801,0.08,4,TP
BTCUSDT,SHORT,2024-01-09 02:00:00,2024-01-09 02:02:00,46661.6,46642.9,46549.6,0,0.34,0.1799,0.07,2,TP
BTCUSDT,SHORT,2024-01-09 12:49:00,2024-01-09 12:54:00,46891.7,46871.4,46777.7,2,1.01,0.18,0.23,5,TP
BTCUSDT,SHORT,2024-01-09 13:20:00,2024-01-09 13:21:00,46855.2,46836.5,46742.8,0,0.34,0.18,0.07,1,TP
BTCUSDT,SHORT,2024-01-09 13:51:00,2024-01-09 13:55:00,46933.5,46914.7,46820.9,1,0.68,0.1799,0.15,4,TP
BTCUSDT,LONG,2024-01-09 18:20:00,2024-01-09 18:22:00,46562.1,46580.7,46673.9,0,0.34,0.1799,0.07,2,TP
BTCUSDT,LONG,2024-01-09 21:17:00,2024-01-09 21:18:00,46063.8,46086.8,46179.0,0,0.33,0.1801,0.07,1,TP
BTCUSDT,LONG,2024-01-09 21:25:00,2024-01-09 21:26:00,45648.6,45666.9,45758.2,0,0.33,0.1799,0.07,1,TP
BTCUSDT,LONG,2024-01-09 21:53:00,2024-01-09 21:54:00,45552.2,45570.4,45661.5,0,0.33,0.18,0.07,1,TP
BTCUSDT,LONG,2024-01-09 22:00:00,2024-01-09 22:01:00,45367.3,45385.4,45476.2,0,0.33,0.1802,0.07,1,TP
BTCUSDT,LONG,2024-01-09 23:17:00,2024-01-09 23:19:00,45946.7,45965.1,46057.0,0,0.33,0.18,0.07,2,TP
BTCUSDT,SHORT,2024-01-10 13:12:00,2024-01-10 13:14:00,45132.8,45110.2,45020.0,0,0.32,0.1798,0.07,2,TP
BTCUSDT,SHORT,2024-01-10 14:27:00,2024-01-10 14:32:00,45313.1,45295.0,45204.4,1,0.65,0.18,0.15,5,TP
BTCUSDT,LONG,2024-01-10 14:47:00,2024-01-10 15:03:00,44913.3,44931.3,45021.2,2,0.97,0.18,0.22,16,TP
BTCUSDT,SHORT,2024-01-10 15:49:00,2024-01-10 15:55:00,45355.5,45337.4,45246.7,0,0.33,0.18,0.07,6,TP
BTCUSDT,LONG,2024-01-10 20:20:00,2024-01-10 20:21:00,45548.8,45567.0,45658.1,0,0.33,0.18,0.07,1,TP
BTCUSDT,SHORT,2024-01-10 20:42:00,2024-01-10 20:43:00,46163.8,46145.3,46053.0,0,0.33,0.1799,0.07,1,TP
BTCUSDT,LONG,2024-01-10 21:18:00,2024-01-10 21:19:00,45617.2,45640.0,45731.3,0,0.33,0.1802,0.07,1,TP
BTCUSDT,SHORT,2024-01-10 22:35:00,2024-01-10 22:36:00,46526.4,46507.8,46414.8,0,0.33,0.1799,0.07,1,TP
BTCUSDT,LONG,2024-01-10 23:37:00,2024-01-10 23:38:00,46665.7,46684.4,46777.8,0,0.34,0.1801,0.07,1,TP
BTCUSDT,LONG,2024-01-10 23:44:00,2024-01-10 23:45:00,46560.9,46579.5,46672.7,0,0.34,0.1799,0.07,1,TP
BTCUSDT,LONG,2024-01-11 00:19:00,2024-01-11 00:22:00,46338.2,46356.7,46449.4,0,0.33,0.1801,0.07,3,TP
BTCUSDT,LONG,2024-01-11 01:07:00,2024-01-11 01:13:00,46514.7,46533.3,46626.4,0,0.33,0.1799,0.07,6,TP
BTCUSDT,LONG,2024-01-11 03:12:00,2024-01-11 03:25:00,46331.1,46349.6,46442.3,2,1.0,0.1802,0.22,13,TP
BTCUSDT,LONG,2024-01-11 04:06:00,2024-01-11 04:09:00,46320.9,46339.4,46432.1,0,0.33,0.1802,0.07,3,TP
BTCUSDT,SHORT,2024-01-11 12:35:00,2024-01-11 13:01:00,47370.6,47350.1,47255.4,2,1.02,0.1798,0.23,26,TP
BTCUSDT,LONG,2024-01-11 15:05:00,2024-01-11 15:07:00,48044.9,48064.1,48160.2,1,0.69,0.18,0.15,2,TP
BTCUSDT,LONG,2024-01-11 16:26:00,2024-01-11 16:27:00,46062.3,46080.7,46172.9,0,0.33,0.1799,0.07,1,TP
BTCUSDT,LONG,2024-01-11 16:55:00,2024-01-11 17:01:00,46007.7,46026.1,46118.2,0,0.33,0.18,0.07,6,TP
BTCUSDT,LONG,2024-01-11 19:18:00,2024-01-11 19:27:00,46365.7,46384.2,46477.0,0,0.33,0.1802,0.07,9,TP
BTCUSDT,LONG,2024-01-12 00:33:00,2024-01-12 00:35:00,46130.0,46153.1,46245.4,0,0.33,0.18,0.07,2,TP
BTCUSDT,SHORT,2024-01-12 00:41:00,2024-01-12 00:53:00,46480.1,46461.5,46368.6,0,0.33,0.1799,0.07,12,TP
BTCUSDT,LONG,2024-01-12 09:28:00,2024-01-12 09:30:00,45601.0,45623.8,45715.0,0,0.33,0.18,0.07,2,TP
BTCUSDT,SHORT,2024-01-12 10:47:00,2024-01-12 11:43:00,46191.4,46172.9,46080.6,2,1.0,0.18,0.22,56,TP
